business_name,review_id,rating,text,time_created
Padella,cx8Pc85SoRQRVzlNTlX7zA,5,"Do yourself a favor and come here. 

The hype is real, every time I'm on London I make sure to come by. They don't take 'reservations' but you can download...",2023-01-06 16:18:15
Padella,bzs3FlMD3rWnuge_JQTFnA,3,"Pasta was great but I don't get what's the hype? 

We tried to line up for it twice but the first time we were here, we had to wait 2 hours to get a table...",2022-12-30 06:41:07
Padella,b9iMIR-vc_KoxH9dlJ5-Dw,4,Many online articles recommended Patella as one of the place to eat at Borough Market. I heard that that the wait could be long so we came here before noon...,2022-12-14 21:35:54
Dishoom,IozHI5Za4e3UQJQkpVItbA,5,"We've been to a few other Dishoom locations, but this one was new to us. It's a massive location and I love how vertical it is - there's like four different...",2023-02-06 12:10:53
Dishoom,pFnsVzX_-4z1cUJNaYet0Q,5,"I visited for breakfast with my family, and we split a few dishes. Here is the consensus:

The bacon naan roll is incredible, not to be missed! Good quality...",2023-02-02 09:37:04
Dishoom,9pJGSGJBzLg6ogSE0Dnc6Q,5,"This is our favorite Dishoom location to visit. You can't really go wrong with any Dishoom but again, service does make a difference. We were blessed with...",2022-10-27 06:23:39
The Narrow by Gordon Ramsay,Y708pW0Gj7NYfchlBWv_vA,5,"The Narrow is a beautiful unsuspecting restaurant in the Limehouse area of London.  It looks like nothing from the street but when you go down the stairs,...",2018-08-28 08:26:08
The Narrow by Gordon Ramsay,6LwDuMPsksK5Rip1dkvENA,3,"First of all, let me just say the food is amazing here. 5/5 for food quality. I expected nothing less from a Gordon Ramsay restaurant. However, the...",2022-05-30 15:39:48
The Narrow by Gordon Ramsay,qqrCdr6TIEwN2yzsByYppw,3,"It was just okay, kind of a let down as far as Gordon Ramsey restaurants go. We chose The Narrow for breakfast for two reasons: their early start time (open...",2019-11-28 02:18:06
Original Lahore Kebab House,CULVK6M7ASbiea5_VB4eQw,5,"my friend and i needed a late night meal and stumbled into lahore at midnight. we were beyond thrilled with the quality of the food, the quantity of the...",2022-10-25 06:05:55
Original Lahore Kebab House,YaR2YnP-MZQGyF7_AMriXA,3,"I have pretty mixed feelings if I'm being honest, but overall I had a nice time. We were able to be seated immediately. The restaurant is pretty cramped and...",2023-02-22 13:28:24
Original Lahore Kebab House,aMHCc0oB6k6PpzF55Hwb2A,5,"no joke: I have made multiple trips to London chiefly to eat here. it is always the same routine: fly into heathrow hungry, drop off bags at usual cousin's...",2022-08-23 00:24:26
Ozone Coffee,Kla6MqqwMdszY7jT03Pz-w,5,"The EVERYTHING is good here!!!!  It is definitely a do not miss coffee/breakfast place!!!  If you are dining in, it is a good idea to make a reservation!...",2022-12-01 12:11:54
Ozone Coffee,K8OWvOUzVD3q-wWJwruPHQ,4,"we waited for about 30 minutes outside the restaurant to get seated for brunch (they were short staffed, which is understandable!) but let me tell you! the...",2022-07-11 03:42:56
Ozone Coffee,Dxa3LA7CiC4zHJEibw-y2g,5,"Best breakfast! Wholesome and so well done. Excellent service. Reservations recommended, but we were lucky to get in without.",2022-07-06 12:35:51
The O2,W4H5Oox8Up-IJoEucIgNhQ,5,"Good atmosphere and neat. I really love the atmosphere. 

Good workers. It's the only neat place in London.",2023-01-10 19:55:59
The O2,gbypbs2FhcUJ0QuW45PvXw,5,"I'm very impressed with this facility which holds about 21,000 people. It is one of the most popular music venues in the world behind Madison Square Garden...",2022-07-17 13:25:56
The O2,9Qmhv8gJEPo7bU2_iMNT8Q,5,"Superb afternoon adventure

So many great Shope's, foodie and drinkie places!  Spent a afternoon here wandering the shops and sampling the variety of...",2022-04-24 09:14:35
Regency Café,DuTix5z-_9RnL-XruZ2TlQ,5,"Regency Cafe (pronounced like ""calf"" for my other side of the pond friends)
is the place to go for a fry up for a visitor to SW1.

It's iconic for a reason....",2022-11-02 22:56:10
Regency Café,HCdrox65OzKOYfW_0Y48pg,4,Came here for breakfast prior to visiting things around the area by recommendation from my best friend from when she had visited London a few years back on...,2022-11-27 18:42:58
Regency Café,GmnwYGw_YxX4v9wpEsQ8ow,2,This place as just meh. I honestly don't know why it has so many stars. My bf and I went since it was a 5 min walk from our hotel. We went on a Saturday and...,2022-11-14 15:24:54
Il Bordello,228N5udKhmve-17tUgvjLg,5,"A truly Italian meal with excellent food and knowledgeable staff who seem to also be from Italy. 

You should definitely try to make reservations as this...",2019-09-20 02:54:30
Il Bordello,sjWEnDfh37VnvaBWYtbzrg,2,"it's good for pizza that's it - they use processed chicken and it's the most
bizarre. texture I have ever eaten .  The service is great though - they are...",2022-06-21 14:20:52
Il Bordello,lrvX8R_UjPCeeDK5t4qc3w,5,Our daughters were craving Italian whilst on on visit to Lindon. I yelped a place close to us around Tower Bridge and ll Bordello came up. Took a taxi on...,2018-02-12 14:05:02
The Golden Chippy,NY6-L_dVG_bfD6RYska-3g,5,"As the name implies, they specialize in fish and chips. But they also have some other things.  We ordered the fish and chips, fried chicken, and minced beef...",2022-12-16 12:28:10
The Golden Chippy,yQ6vM6eg9YEnQABOcflEMg,5,"Two tube lines, the DLR, and a short walk to this neighborhood chippy was well worth it.  Hubby and I shared the cod and haddock.  Both fishes were crispy...",2022-10-22 15:31:59
The Golden Chippy,dDanvIlYYshik8KxgI0lEQ,3,This was the highest rated fish and chips in London. We got the Haddock and got it skinless. It was excellent according to my friend but just okay for me....,2022-08-10 04:35:05
Pizza Union,68FelTFzmHO3ImNtCIOxhw,5,I came to visit london from the US and let me tell you this is probably one of the best pizzas I've ever had. It's light thin and so delicious. We ordered...,2022-11-24 16:12:34
Pizza Union,-PwDp54QiLrHmSx8a7R2XQ,2,"Cheap and fast, but unfortunately just not good at all. You can get a margherita for about 5 quid and anything with toppings can be a few pound more. They...",2022-11-23 11:48:58
Pizza Union,8cYS1bl2Ui0uf4wkKDjOTg,4,"Delicious, thin crust and cheesy pizza with fresh ingredients. Reasonably priced and quick.
Nothing exceptional about the location, or inside. But it was...",2022-06-08 14:56:12
De Vine Restaurant and Coffee Bar,ZIUSHdP6QBA5vrNsbNy_Lg,5,"I had one last breakfast to assign to my trip to London. I had been to some pretty grandiose breakfasts at beautiful places. So I saw this place, a literal...",2023-01-18 07:53:12
De Vine Restaurant and Coffee Bar,khqmk2nkuVc8AO1FlHTh8Q,5,Besides the amazing service and friendly staff the food was delicious! Perfect morning breakfast. It was my first time ever having a British breakfast and I...,2022-12-08 23:32:44
De Vine Restaurant and Coffee Bar,j6ieg5wRbwj_0JSz7Fmw4A,5,Having spent two weeks in London on business I was thrilled to have found this hidden gem near my hotel.  It was nice to find a family business after seeing...,2023-02-14 18:25:43
Punjab Restaurant,jVTx0mhHVDsfekRmcuSu3w,5,"My partner and I were seated quickly on a Saturday evening and the service was quick. 

The food was so delicious! My favorite was the tiki masala chicken...",2022-08-28 15:00:08
Punjab Restaurant,_0vQq4drm3oV-0LFtAvB2A,4,"Fast-food of Indian cusine.
Lots of guests and waiters.
Pretty good food.",2023-01-05 01:36:42
Punjab Restaurant,7KvdES5JhBwWs_zeVVS8ig,4,"This is a very happening way place. There is always a line outside. When we arrived they told us it would be around 20 minutes, but we were seated in 10min....",2022-10-20 14:06:06
Hawksmoor Seven Dials,OkS_2cEn7Fk2ZDOm7bb5tA,5,My last lunch in London. I had to pick a good spot. I had seen a lot of stuff already. What was missing? I decided that a choice steakhouse was what was...,2023-01-25 08:49:52
Hawksmoor Seven Dials,3W0j8cWGSsh1kyHA-wcO7w,5,"5/5 just for their sticky toffee pudding, love love love the clotted cream!!! 

Enjoy!",2022-05-27 21:19:05
Hawksmoor Seven Dials,k93QNWdbZ2IHaI_IJhZRZA,5,Great food - good service and ambiance. Excellent whisky options for after dinner drinks. Recommend the porterhouse (~900g) for two people with sides.,2023-02-15 15:52:08
Friends of Ours,mmg_fLSjPqsB6I2CUqmEzQ,5,This is the most adorable cafe with the yummiest food! We came here twice while visiting Shoreditch and could not have had better experiences - the BLT was...,2022-11-23 18:53:25
Friends of Ours,EJo5CE1YW9H5wms0Em8vmQ,5,Looks like a standard cafe as you pass by but in fact the antipodean menu makes this much more than your usual upmarket greasy spoon. We got the mackerel...,2021-07-29 05:37:16
Friends of Ours,D3fPrw-IdxsmYS1_VHi-fQ,5,One of our new favorite coffee spots in the neighborhood. Their pastries are unreal and the service is great! Definitely recommend popping by for a coffee...,2021-05-05 02:52:00
Goodman,kKju7bCSOMUCmsObm8gTmQ,5,"The food and service was excellent! Such friendly staff. We ordered steak and truffle fries, top notch for sure!!!!!!!",2022-11-26 04:34:02
Goodman,l-sHQHdKzr61QhVGaKAZkg,4,A posh steakhouse located in the financial district around Canary wharf. Be prepared to spend good money here but the quality of the steaks is fantastic....,2019-01-28 09:55:44
Goodman,BOttyKA0fIJe-OmoPBGNUw,5,"Great food, great steak  Arrived on time but dinner date was delayed in traffic. Very accommodating and inclusive. Great place right  on the river.",2021-02-20 17:59:55
Bravas Tapas,fzUz98eoGU5swBG36xLMSw,5,I'm moving to the area and am on a mission to find some of my favorite foods. Tapas seemed like a good place to start. I came on Sunday evening and was sat...,2022-09-18 13:39:49
Bravas Tapas,Eu3wvDS2e2AQGlO6uhE6aQ,5,Me and some friends came here for dinner our first night in London. The area it is in is really cute and lovely. The food was really good and I would come...,2022-05-15 15:18:29
Bravas Tapas,4H4QrbLTKk6InFrnlXJ_wQ,4,Good Spanish food in a cozy surrounding with friendly service.  In St. Katherine's Docks area.,2022-12-28 11:46:47
Sushisamba,jQ7Y4qNN8TyteooER-WbrA,4,"The view is stunning, the food is good but absolutely not amazing. Like don't go there for the food, you can find way better Japanese in town! 

It's a...",2023-01-30 01:11:24
Sushisamba,LoTNi4QdG3-MoOJd-QoIZg,5,"Always a fabulous experience whenever I go. 

The sushi is consistently of an impeccable standard, and the gyozas we tried this visit were delicious. 

The...",2023-01-04 06:47:04
Sushisamba,ACQuys16K7oCr3fkCbBV1g,5,"Excellent. One of my most enjoyable moments in London!

Service, great!
Food + drink, great!
Ambience, great!
Views, great!

I tried booking a reservation...",2022-12-04 16:10:15
The Breakfast Club,sd4MIS7DudvHVK9rVzHsEQ,5,Cheers to the chef. The food was delicious and service was at a good pace. Make sure to make reservations. We came early but we watched at the tables filled...,2023-02-05 01:48:28
The Breakfast Club,s4UUuCXvMNPR1v9oSOMeWg,5,"My husband and I opted to try BC, which was a good move. Their cappuccino is on point! The service is excellent. They are very conscious of any food...",2023-01-20 13:06:31
The Breakfast Club,qI7zL_ldoT9sSinGHC1dYw,3,"We were starving after coming in from our 9 hour flight and desperately looking to grab breakfast. Oddly enough this place offers breakfast the ""American""...",2022-06-12 15:00:37
TRADE - Commercial Street,Ec11L3IEkeoHlqZO9g9BPw,5,"Great service.  Fantastic food.  Hot fresh delicious cappuccino!  Stopped in here for breakfast and was not disappointed.

Tried:
The two eggs on sourdough...",2021-12-23 03:19:41
TRADE - Commercial Street,H-HKq9qy1l415pOHcWbaTg,5,"When: Monday at 9:30am
Party Size: 2

Chorizo, Chilli, Eggs: 10/10
Definitely get this. The eggs were like Gordon Ramsey style. Sourdough bread was perfect...",2019-09-24 20:33:07
TRADE - Commercial Street,TngVSjXV1Fj0_bxGDeRfew,4,Stopped by for breakfast before our day trip to Stonehenge! Enjoyed how trendy it was. It's kind of a tight squeeze and a little cramped if you need to move...,2018-02-01 15:14:59
Efes,8BG4F5G0JCMwpWnFrRQXpg,5,"delicious turkish food! came here on christmas day and the place was bustling with people. waiters were polite and accommodated us for outdoor seating.

the...",2022-12-25 12:49:55
Efes,hSB8NMgu5c5nSg2CLh75Cg,5,"Best meal of the trip! I was staying down the block and seeing all of the Kabobs in the window, we couldn't pass it by. So glad we went in!

Over ordered...",2022-12-01 18:01:32
Efes,lGqjwLjvELkR-nO-GFPJZA,3,So the idea is sound.  A very authentic Turkish place with the food Ina ready to cook form.  I think we ordered the wrong stuff or perhaps caught them on a...,2021-12-31 06:08:44
Greedy Cow Burgers & Steaks,PGFurVkgoQaek0eAq_cIKA,5,"A must stop! The best burger in London. The quality of the burger and fries were great and there was a fun, delicious selection of drinks. Directly across...",2022-12-02 10:48:25
Greedy Cow Burgers & Steaks,lSqWxi_NOZad6-c9Ywi4DA,3,Traveling in London and popped in here for dinner. The staff greeted us and we sat right away. The place was clean and aesthetically pleasing but the music...,2019-03-11 06:32:12
Greedy Cow Burgers & Steaks,ySvSyqYVQ0vyW4DWuvEFfA,5,This place was a great shelter from the cold. Great drinks and even yummier food. The manager was super on it and the food came out fast and hot. Not to...,2019-10-30 14:45:19
Andina,qo9wPVx8fmT8tkHklECjbg,5,This was excellent. I had the white fish ceviche and the grilled octopus. Delicious. Place can get busy so make a reservation.,2022-10-16 08:34:17
Andina,3mGpYpHsE0tvWjXNerNL5g,3,"Good but very expensive for what it is.

For Peruvian you have to do the ceviche - if not 2.  CEVICHE DE ATÚN & CEVICHE DE LUBINA were light and fresh.  The...",2022-10-03 12:04:17
Andina,fHrJg6SV2LcUoCJniGEWQA,1,"I've been excited to come here because of all the great reviews! We finally made the trip and were surprisingly seated right away. There are two floors, a...",2017-01-29 13:33:18
The Clove Club,43MlSTsx7A86ecNNqcuI8Q,5,Best dining experience I've had in my life. I won't go into much detail of each dish we had but it was seafood and game meat heavy. Each plate had the...,2023-01-22 13:55:58
The Clove Club,tppAZ_OKYMk2IsrDazriCw,5,"A truly excellent meal, both the food and service were outstanding and there was only one real hiccup during our lunch which was fine. 

The space is nice,...",2023-01-02 13:03:15
The Clove Club,dHCTTQCMC9Xr5-UyUE9rKg,5,"Our second time to the Clove Club,  the verdict is we love it more than our last visit (which was a cocktail pairing menu) at the bar.

We started with...",2022-12-20 04:41:13
ROKA Canary Wharf,d1HmWpYWVyQRAfRA1wFHSg,5,They make the best food I have ever had. I never write reviews but this place deserves it. The food is so good and the staff are friendly as well.,2022-08-28 04:57:30
ROKA Canary Wharf,NoNcwK20xy58NZVSyNZV2A,4,Roka is a very good japanese restaurant. Its a modern izakaya style of japanese food. But i just honestly hate the hype for this restaurant. The overhyping...,2022-08-11 17:05:59
ROKA Canary Wharf,uOQzqfBT03AYgigs4p0NjQ,4,"Excellent brunch, would recommend for big groups or if you haven't seen your friend for a while, nice place to catch up! Great experience.",2022-11-17 07:32:55
Flat Iron,GKkZuE0WoRAH7I58qsLEuw,5,"Lights are amazing 
Popcorn is good
Food is fantastic 
Service is best
Like it
Awsome",2022-12-20 13:01:09
Flat Iron,ahynvmCQZdFocTCdtv3lLA,5,"Food was amazing, sides were great! I deff recommend the bone marrow mash potatoes and the mac and cheese. We hd both the sirloin and the skirt steak. Plus...",2023-02-14 14:52:53
Flat Iron,wq8sk1NVOvRcie7Zg3Qujw,5,"Holy Sunk-in ship !!!
This place is amazing !!! Wow wow wowwwwww

I got the Scottish Bavette and it was tasty. I would rate it a 7/10. 

My wife ordered the...",2022-07-01 10:12:30
Bistrotheque,edCyPZTweyZjOi7GH5HmJQ,5,"Sensational food, funky decor, sneaky hard to find address, brilliant cocktails and a grand piano.
Recommended by D1's boyfriend and Jeremy Stopmaster...",2017-01-03 13:39:16
Bistrotheque,5qBmuW9PbTScAIKjnKR2MQ,3,"Solid cooking and high quality products. I wouldn't said my mind was blown but I had a good time.

Staff if very good and the ambience is nice.

As starter...",2020-01-12 04:08:58
Bistrotheque,mnHbTs6QXqNegR855CR85w,3,"I wanted it to be better. Half items from the menu were missing so I asked for recommendations. Steak tartare was good, side salad was so salty I couldn't...",2020-02-02 12:50:02
The Gun,js9zTiePkfAP4TisyacJ7Q,5,Long overdue review but a memorable experience (although I can't comment on the food). My friends lived down the road from this pub and I had to work one...,2023-01-02 11:55:23
The Gun,oI75Zi3WZk7PLWqa0GjH9w,4,"Super friendly service, decent food, and a great view of the river and the O2. This place got me into a Wikipedia hole about the Napoleonic Wars, Nelson's...",2022-12-03 02:34:27
The Gun,PcGUx4Zkvzy8kGhAeWCS4Q,4,"Delightful location right on the Thames. Delicious food (not your average pub grub for sure!). Good selection of ales, and a full bar (some yummy Scotch...",2022-10-30 15:29:58
St John Bar and Restaurant,qTkt0xCE9vM3f8t82lmpQw,5,Nothing more needs to be said. Lived up to my extremely high expectations. Bone marrow toast was transcendent. Welsh rarebit will be in my dreams. Can't...,2022-09-16 17:23:43
St John Bar and Restaurant,n_TZrhtH6bg5EoAw88vdvg,4,Last evening on my trip to London and saved it for a dinner at Michelin Star St. John. Made reservations a few month's in advance and were seated...,2022-12-30 23:11:40
St John Bar and Restaurant,O8XFW6dOE34_KFIsUrkXnA,4,"St John's has been on my must visit list for nearly a decade. Great experience, be sure to make a reservation. Everything is prepped in hoise, bread is...",2022-11-16 16:00:28
Swan,Ottthugfp0qI2BTNWnfVeQ,5,Came here for afternoon tea after visiting Tate Modern. We didn't have a reservation but the receptionist made a table for us in the dining area by the bar...,2023-01-10 23:28:35
Swan,bWkJyzsDLzoB4NzfRM6cIw,4,"Jamie W. was determined to have fish and chips at least once during our recent brief trip to London. You know...Pip-pip, cheerio and all that sort of rot....",2022-08-08 22:29:01
Swan,KADZ6Nmwu5K5_yHJJsbRoQ,5,"Our 3-course, prix fixe menu was terrific!
Portobello mushroom soup with chestnut garnish was a highlight - braised shank, cheese platter - the whole meal...",2023-01-03 14:04:31
Plateau Restaurant,OtdJicKZZPxu-7zLnjLoHw,5,"Great brunch place!
Food : 9.5/10 (small portions but good )
Ambiance 10/10 (very bright and clean) 
Staff 9/10

Definitely recommend",2020-02-16 09:17:59
Plateau Restaurant,ag9BK8zHboTfsfIMD8pbdA,4,"My first visit to Plateau Restaurant, or Canary Wharf in London for that matter.
We went for lunch with a friend, and it was lovely, delicious, and the...",2019-12-02 03:16:56
Plateau Restaurant,unVNFuVopJ-R74Cn4DdqDA,5,"Dined at the grill and bar, not the restaurant. Went on Thursday late night so no queue and got a window seat through walk-in. Ordered set menu with tuna...",2017-07-14 12:58:22
Royal China,AVGm0Bdja6yRoI3u216tpQ,5,"Very good, high quality Chinese cuisine with a great location right by the Thames.  There's plenty of outdoor seating to take advantage of the water views,...",2018-07-27 05:02:15
Royal China,XoRFIG1YkfUdIOUEOCnOjA,3,"We were hoping for dim sum for dinner, but
they only do dim sum for lunch, so don't expect your soup dumplings later on.

We were still hoping for some...",2022-07-18 11:54:12
Royal China,5EWCkSXuWHN9lyim3N6Gew,4,Update 2.0: Came back for anothet dimsum here and it wasnt disappointing. It was still good and its always gonnna be my comfort dim sum place in london....,2022-07-05 10:22:58
José,GmiokEaCVNVySfcpoDcWUw,5,"Crowded, noisy and delicious!

Terrific corner spot on Bermondsey Street: grab a window or pavement stool so you can watch the cool Bermondsey types strut...",2021-11-27 17:44:50
José,BWifwawfaFtV6xsJqkr_mg,4,"No reservations at Jose so be sure to get here early and on time, the restaurant is quite small, but turnover is fast! My favorite was the con tomato - the...",2022-12-05 03:19:56
José,JUz3jvjYAUzO0feLHV7gWg,5,I took a bit of a change with a hangry five year-old and an (almost) hangry wife in asking them to walk from the Tower of London to this location. After the...,2022-05-06 14:45:29
The Table,Envj8AC82xUZ3gli-4wVug,5,"Great brunch, especially the savory things on the menu, and the coffee is amazing. 

There are vegan items on the menu and milk alternatives which is...",2023-01-25 02:42:52
The Table,JktdX4QY6Q-hRRHrm2hpzQ,4,"Eggs Benedict spot...but overall a great spot for all day eggs...

Like this spot and it is convenient.  Crisp food without excessively overpowering it with...",2022-12-14 21:41:35
The Table,ioaHVNKpAFFPFFgAuvSqZw,4,"After eating a hotel breakfast buffet for numerous days in a row, I needed something inventive and different.  I did a quick yelp search and found The...",2023-02-03 13:08:22
Pizza East,gCdbz4vNYukhkf3wAMSiQA,5,"Truffle pizza was really really good. The atmosphere is also good, and the red wine we ordered was very good as well. Coming from NYC I didn't know what to...",2022-06-15 12:34:47
Pizza East,B36m_5sfoWnPPDFQ-uv7UA,4,Excellent pizza! Service was amazing and great vibe! Came in here while staying at a nearby hotel. A perfect area in shoreditch to explore and to stop in...,2022-03-05 12:00:44
Pizza East,aWNdPb5BXwxq-eSZ-lBnwQ,5,Pizza East Shoreditch is my first stop every time I visit London. Yes they have great pizzas but they have so much more. Several creative sharing plates and...,2022-04-16 04:40:11
Meraz,xnawX9AbZweLxGOKcNcOSA,5,"Excelent food, excelent ambiance staff is even better

Friendly staff and great vibes",2022-12-09 13:50:15
Meraz,MoTkHDXU0pfN8FvxmQc1rA,5,We had an amazing dinner here last night. The owner/manager was very pleasant and friendly. We did not have a booking but he was able to accommodate us. He...,2022-12-23 00:59:05
Meraz,UiC-7NmOqtr3RbdH6YtmAg,3,Probably echo what others have said. Not the most flavorful of Indian restaurants. Samosas were exceptionally oily (had to blot them with a napkin and still...,2023-01-24 18:51:35
The Pavilion Cafe,FEmi5Hd0yGV852iu469xsA,5,"#1 spot for a brunch around Mile End. The Pavilion Café is like a multi tool/Swiss army knife, it can be used in so many ways! Here, I'll list a...",2017-08-08 14:17:48
The Pavilion Cafe,kUNkbOSCAfOFn43_Xc04Yw,5,"This is the first cafe my boyfriend and I came to after landing in London and were so glad we found it. This cafe is small and quiet, it's located inside a...",2020-09-24 12:55:00
The Pavilion Cafe,gljME9Vk_fl8H87LCDLCQg,1,"While it's in a lovely vacation in the park by the pond, and the menu offerings sound so good, I have to give this place a 1 star as I had a pretty awful...",2017-06-15 13:27:17
Ottolenghi,-ejpJsyryzlP_5DmEkstIg,5,"Over the years I have learned and cooked middle eastern food from Ottolenghi! I was pumped to try one of his restaurants, and it did not disappoint. It's...",2022-08-28 19:04:26
Ottolenghi,vds4kTg72CVml3B1zMhQXA,5,"Amazing food, service and ambience. Ottolenghi always prepares veg in delicious and unexpected ways. The desserts are are always a 10/10. Highly recommend!!",2023-02-02 11:32:42
Ottolenghi,7IT4koWLGf0ItyWstVd6mg,4,"The food is inspiring, fun, terrific! Important to go with a little group (4-6?) if you like to taste a wide variety! We were so into it that I forgot to...",2023-01-03 14:18:18
Honest Burgers Meard St - Soho,vb3ZUd58Q-vnYmgNtHYDgQ,5,"Smashed burger and salad for 9 pounds, sign me up

Love the fresh onions in the burger and the salad portion size was huge 

10/10",2023-01-08 05:08:52
Honest Burgers Meard St - Soho,zJGDOQLaUH_CirkMRVOomA,5,It was literally in a disguised pub in an alley way but I am glad I ran into it. Listen as a immediate burger connoisseur this was probably top 5 burgers I...,2022-09-10 07:13:10
Honest Burgers Meard St - Soho,ICTrkqy8gKXsD5pWOH06VQ,5,"Love their burgers. One of my favorites in London, they're consistently good and cheap and the staff is super friendly.",2023-01-19 09:15:56
Muhib Indian Cuisine,_rOJ7xpoRZtbQ25XLGNcvA,5,"Food and service here was amazing! 

For a party of 12, we were able to walk-in and were quickly seated. We had a variety of plates, but the jalfrezi stood...",2019-11-28 12:10:42
Muhib Indian Cuisine,GRUZ-a6bWYbFmxd5R5GX4g,1,I ordered butter chicken and it was so grainy and I could not eat it. The main dinner dish also didn't come with rice.,2022-12-02 12:28:16
Muhib Indian Cuisine,jkGszoLVIbiFHcjSBI16VQ,4,It is intimidating to walk down Brick Lane and encounter guys trying to entice you to eat at their restaurant. There are too many choices. I researched...,2022-07-12 13:37:22
Ye Olde Cheshire Cheese,CfMFlGvDxOwsaz-ENW5ivA,5,This historic pub is THE standard for a classic old pub in London!  We grabbed a table in one of the cellars (3 levels!) and it was like going back in time....,2022-12-01 16:44:50
Ye Olde Cheshire Cheese,HYTcVylS4kTcoV_gPdr9Jw,4,"Dark. Dingy. Nooks and crannies. Loved being here and navigating my way around this space! 

Food was tasty!",2022-12-03 21:22:06
Ye Olde Cheshire Cheese,xgRh2EEpYGlC87NjopBakw,1,History of the building was cool. Be careful at the lower bar.. they charged double charged me for drinks. Spoke with them about it and had to it and had to...,2022-11-24 11:45:49
